model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
free_days5678,0.11,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
free_days45678,0.354,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
free_days345678,0.548,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
free_days2345678,0.74,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
ppo_3,0.046,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
ppo_7,0.07,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
ppo_14,0.088,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
ppo_21,0.124,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
ppo_28,0.218,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_prop_state1,0.172,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_spline2_state1,0.11,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_prop_state12,0.046,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_spline2_state12,0.048,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_prop_state123,0.068,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
cox_spline2_state123,0.06,0,200,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T03:05:20Z
otm,0.96,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
otm_rand_int,0.958,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
rand_int,0.958,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days8,0.056,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days78,0.08,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days678,0.088,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days5678,0.138,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days45678,0.492,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days345678,0.726,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
free_days2345678,0.892,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
ppo_3,0.064,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
ppo_7,0.056,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
ppo_14,0.1,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
ppo_21,0.178,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
ppo_28,0.22,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
cox_prop_state1,0.218,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
