model,power,prop_na,sample_size,cutpoints,beta_yprev,beta_t,beta_tx,beta_t_tx,tx_end,tx_type,n_sim,datetime
free_days345678,0.094,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days2345678,0.1,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_3,0.046,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_7,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_14,0.07,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_21,0.076,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_28,0.104,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state1,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state1,0.074,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state12,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state12,0.078,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state123,0.086,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state123,0.084,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
otm,0.178,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
otm_rand_int,0.164,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
rand_int,0.684,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days8,0.072,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days78,0.094,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days678,0.08,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days5678,0.11,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days45678,0.138,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days345678,0.138,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days2345678,0.15,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_3,0.066,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_7,0.066,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_14,0.098,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_21,0.136,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_28,0.156,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state1,0.14,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state1,0.122,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state12,0.128,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state12,0.114,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state123,0.126,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state123,0.094,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
otm,0.174,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
otm_rand_int,0.172,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
rand_int,0.674,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days8,0.076,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days78,0.096,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days678,0.108,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days5678,0.134,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days45678,0.148,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days345678,0.142,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
